Nom entreprise,siren,siret,nb_etablissements,nb_etab_ouverts,activite_principale,activite_principale_naf25,annee_tranche_effectif_salarie,siege_adresse,code_postal,commune,caractere_employeur,coordonnees,date_creation,date_debut_activite,latitude,longitude,etat_administratif,nature_juridique,tranche_effectif_salarie,section_activite_principale,adresse,finances_ca,resultat_net
10 NORD (10 NORD),924990864,92499086400010,1,1,71.12B,71.12Y,,413 CHEMIN DE L’HIRONDELLE 34170 CASTELNAU-LE-LEZ,34170,34057,N,"43.646725554,3.8930692457",2024-03-01,2024-03-01,43.646725554,3.8930692457,A,5710,NN,M,413 CHEMIN DE L’HIRONDELLE,0.0,0.0
NORD CAFE 10,821460045,82146004500031,3,1,56.10A,56.11G,,10 RUE MONTROSIER 92200 NEUILLY-SUR-SEINE,92200,92051,N,"48.8794638402305,2.27866619775241",2023-12-01,2023-12-01,48.8794638402305,2.27866619775241,A,5499,NN,I,10 RUE MONTROSIER,0.0,0.0
SYND.COPR. 10 RUE DU POLE NORD  PARIS 18,039091848,03909184800018,1,1,81.10Z,94.99Y,,10 RUE DU POLE NORD 75018 PARIS,75018,75118,O,"48.894160843,2.3386564954",1995-12-25,2008-01-01,48.894160843,2.3386564954,A,9110,NN,N,10 RUE DU POLE NORD,0.0,0.0
COPROP 14 RUE DU NORD 10-12 AV LIBERTE,409403458,40940345800014,1,1,81.10Z,94.99Y,,14 RUE DU NORD 57050 LE BAN-SAINT-MARTIN,57050,57049,N,"49.125023753,6.1518679545",1996-10-01,2008-01-01,49.125023753,6.1518679545,A,9110,NN,N,14 RUE DU NORD,0.0,0.0
LA SAUVEGARDE DU NORD (ADNSEA),775624679,77562467901416,155,111,70.10Z,70.10Y,,PARC DU PONT ROYAL 2EME ETAGE BAT G 251 AVENUE DU BOIS 59130 LAMBERSART,59130,59328,O,"50.6473242880655,3.04186951859007",2024-10-01,2024-10-01,50.6473242880655,3.04186951859007,A,9220,NN,Q,251 AVENUE DU BOIS,0.0,0.0
OFFICE CENTRAL COOPERATION ECOLE DU NORD (OCCE),390459246,39045924600042,1549,1545,94.99Z,94.99Y,2023,543 RUE D'ARRAS 59500 DOUAI,59500,59178,O,"50.3652890649588,3.06977087515625",2010-02-24,2010-02-24,50.3652890649588,3.06977087515625,A,9220,02,S,543 RUE D'ARRAS,0.0,0.0
10 RUE DU NORD - KANFEN (KM LOCATION),939056354,93905635400011,1,0,55.20Z,,,10 RUE DU NORD 57330 KANFEN,57330,57356,N,"49.4423584625793,6.10716321860611",2024-01-29,2024-01-30,49.4423584625793,6.10716321860611,C,2110,NN,I,10 RUE DU NORD,0.0,0.0
FUNECAP NORD,441232352,44123235200225,80,67,96.03Z,96.30Y,2023,ENTREPOT N 3 133 RTE DE LILLE 62218 LOISON-SOUS-LENS,62218,62523,O,"50.4455688750596,2.85804229033416",2015-11-01,2015-11-01,50.4455688750596,2.85804229033416,A,5710,12,S,133 RTE DE LILLE,,
OBJECTIF INNOVATION 33,911039436,91103943600017,1,1,64.20Z,64.21Y,,18 RUE SAINTE-FOY 75002 PARIS,75002,75102,N,"48.86869922,2.3511944691",2022-02-23,2022-02-23,48.86869922,2.3511944691,A,5710,NN,K,18 RUE SAINTE-FOY,0.0,0.0
ASTEK INNOVATION,417534401,41753440100126,26,15,71.12B,71.12Y,2023,LES PATIOS - BAT D 77-81 T RUE MARCEL DASSAULT 92100 BOULOGNE-BILLANCOURT,92100,92012,O,"48.833638731,2.2494603674",2016-06-01,2016-09-15,48.833638731,2.2494603674,A,5710,11,M,77 RUE MARCEL DASSAULT,1561360.0,-157166.0
