Date/Time,Media Description,Media Link
"You uploaded a feed document on April 2, 2026 at 1:55 PM (GMT)","Vous avez des indicateurs ISO 27001? mais est-ce qu?ils vous servent vraiment?


Avoir des donn?es, ce n?est pas piloter.

Aujourd?hui, beaucoup d?entreprises s??quipent.
Des outils parfois chers, parfois complexes.
Mais au moment cl? (d?cider, arbitrer, prioriser), rien ne sort vraiment.

Un outil ? 2 000? qui ne guide aucune d?cision reste juste? un tableau am?lior?.
C?est exactement de l? qu?est partie cette nouvelle version du dashboard ISO 27001.

La premi?re version permettait de suivre.
Celle-ci permet de comprendre? et d?agir.

Le travail a ?t? simple dans l?intention :
enlever le superflu, structurer l?essentiel, rendre chaque information utile.

Aujourd?hui, le dashboard repose sur deux piliers.
Une vue de pilotage de la DdA (SoA), claire, rapide ? lire, exploitable en interne comme en audit.

Et une lecture par contr?le, avec du concret :
ce qui est attendu, quand ?a s?applique, comment le justifier, avec des exemples de preuves.
L?objectif n?est pas de ?faire joli?.

C?est de transformer un suivi en outil de d?cision.
Le tout avec un Power BI + des fichiers Excel modifiables, pour s?adapter ? votre r?alit?.
Simple. Lisible. Utilisable.

Si ?a vous parle, ?crivez ISO en commentaire
(je ne peux pas envoyer en priv? si on n?est pas connect?s).

#ISO27001 #CyberSecurity #PowerBI",https://media.licdn.com/dms/document/media/v2/D4E1FAQHpm9Y3CL_6PQ/feedshare-document-sanitized-pdf/B4EZ1OeeKrI0A8-/0/1775138105229?e=1779962400&v=beta&t=4Bg0FbQlGiq-I8D3-Dk8ndyrubNNjM9fTzjKkXlA7nc
"You uploaded a feed document on March 31, 2026 at 1:20 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQERlE_VUb6UlQ/feedshare-document-sanitized-pdf/B4EZ1EDUQ5HAA8-/0/1774963214486?e=1779962400&v=beta&t=YfW2CWDSyS1kxevaPgWS1Dmf_t5aH5SgQD1e5xpBU0Q
"You uploaded a feed document on January 28, 2026 at 12:07 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQFrBQnXT74EmQ/feedshare-document-chunked-pdf/B4EZwEgCgXGsBo-/0/1769602035104?e=1779962400&v=beta&t=9GYN1Y7oldxR-okC_o5bGDXErUlipSUFHGT3v00yc9k
"You uploaded a feed document on January 28, 2026 at 12:06 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQHAaHqHGgyIYQ/feedshare-document-chunked-pdf/B4EZwEf7AwJQBk-/0/1769602004542?e=1779962400&v=beta&t=mSxoz7GxxLyUD9Vtq7C7RaTdNpJv1UZ6-QBkq6dGl0k
"You uploaded a feed document on January 28, 2026 at 12:05 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQFbEK8GZ5qolg/feedshare-document-chunked-pdf/B4EZwEfifMKABk-/0/1769601903700?e=1779962400&v=beta&t=4TD9M91GRIpGX0aDpV8LcZI9KlK3pIF4ouyrjZ9vVFo
"You uploaded a feed document on November 26, 2025 at 1:58 PM (GMT)","Tu as d?j? essay? de lire une tendance sur une courbe qui tremble comme un ?lectrocardiogramme ? (dur ? lire ce mot)


La plupart du temps, on part de donn?es brutes? et parfois c'est vraiment chaotique.

Les moyennes liss?es, c?est ce qui t??vite d?interpr?ter certains pic du vendredi comme des ?ph?nom?ne strat?gique?, alors que c?est juste une anomalie ou un pic isol?.

En plus de t'enlever les valeurs anormales, il ?lague tout ce qui est pas li? ? ton syst?me et qui ?tait juste une co?ncidence ou ponctuel. 

C'est utile quand tu veux avoir une vue d'ensemble sur une p?riode.

C?est aussi ce qui te permet d?identifier la direction d?un indicateur : ce qu?il fait r?ellement au cours du temps, pas juste une photographie de deux dates.

En DAX, j'utilise la formule de Andr? Meyer-Roussilhon qui est tr?s utile.

Si tes courbes ressemblent plus ? du bruit qu?? un signal,
 je peux t?aider ? remettre de la clart? dans tes KPI.
 ?cris-moi ?CLART??.",https://media.licdn.com/dms/document/media/v2/D4E1FAQGfDjzJnUAkyA/feedshare-document-sanitized-pdf/B4EZrAdY.BIUA8-/0/1764165525938?e=1779962400&v=beta&t=sJeqIWEB35HR-8pvyH0-zqOk3CpqUIhKhNSQlBubeIM
"You uploaded a feed document on November 26, 2025 at 1:55 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQFjPwC8-hT5bQ/feedshare-document-sanitized-pdf/B4EZrAcxUNJgA8-/0/1764165363883?e=1779962400&v=beta&t=dPMrdL7fAeSoxtbH1wMlYqcCbsDXkhUAzMGuWJNGQMM
"You uploaded a feed document on November 20, 2025 at 8:37 AM (GMT)","Les totaux en DAX, quelle gal?re quand on commence
Tu as d?j? eu cette r?flexion non ? 


""Je comprends pas pourquoi le total ne s'affiche pas comme il faut !""
""J'ai fait une erreur ? Pourtant le reste est juste !""

Ce carousel explique le fonctionnement du moteur DAX, et en bref : les totaux ne sont pas des additions, c'est un calcul ? part enti?re.

Les lignes et le total, chacun ont leur logique respectives, et elles ne se rencontrent pas toujours.

Un bon mod?le et une bonne compr?hension des mesures permet de mieux comprendre toutes ses imbrications.

Tu as d?j? eu cette r?flexion devant ton ?cran, pas vrai? ",https://media.licdn.com/dms/document/media/v2/D4E1FAQGDFITQcGoWiA/feedshare-document-sanitized-pdf/B4EZqgaazSKoBA-/0/1763627873592?e=1779962400&v=beta&t=cugge-SWEbTfpeoS0oMNisyTafj4BDO3nkB7L4T3jg0
"You uploaded a feed document on September 17, 2025 at 6:03 PM (GMT)","Tu veux perdre ton audience ?
Mets tes r?sultats du mois dans un camembert.


Si tu ne le sais pas je te l'annonce : Tous les graphiques ne se valent pas.
Et surtout : ils n'ont pas le m?me r?le.

La repr?sentation des donn?es dispose de certains principes essentiels.

Par exemple : Une courbe, c?est pour une ?volution dans le temps, raconte une histoire : hier ? aujourd?hui ? demain. Avec une CONTINUIT?.

Tu veux r?pondre ? une probl?matique structurelle ? Genre les motifs de refus de tes prospects ?
Un camembert, ou un diagramme en secteurs.
?a r?pond ? la question : comment se r?partissent mes cat?gories ?

Tu veux voir les meilleurs managers ? Les meilleurs sites de vente ? Les meilleurs canaux ?
C'est un histogramme qu'il faut, ou un diagramme en barres.

Le probl?me ? Tu m?langes tout.
Mais c'est pas grave, maintenant tu as compris.

Un camembert pour une ?volution ? Inutile.
Un histogramme pour repr?senter une structure ? ? c?t? de la plaque.

Les graphiques sont des outils pour tes d?cisions.
C'est pas des courses ? Ikea, on prend pas ce qui est mignon.

Mal choisi ? il brouille ton message.
Bien choisi ? il ?claire tes d?cisions.

Alors pose-toi la vraie question avant de cliquer sur ?Ins?rer un graphique? :

Quelle histoire je veux que mes donn?es racontent ?
Si tu as besoin de conseils pour vraiment orienter tes d?cisions et perdre moins de temps, mes dm sont ouverts",https://media.licdn.com/dms/document/media/v2/D4E1FAQGt0fk__NOmWg/feedshare-document-url-metadata-scrapper-pdf/B4EZlY2JirHEAU-/0/1758132216337?e=1779962400&v=beta&t=zD_mznwsA_HouNcSyJkO2Q7izjJaG0U0br3oW5SwmMA
"You uploaded a video on September 1, 2025 at 4:27 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4E05AQHSgJuJ6bjFxw/BAgbxKgPdymfYNO3w?e=1779962400&v=beta&t=jNycR7IT1PC0sYKBq1uHc1fFgt0dVoRbidaZHDYybuo
