nom_complet,siren,siret,tranche_effectif_salarie,activite_principale,activite_principale_naf25,ancien_siege,annee_tranche_effectif_salarie,adresse,code_postal,commune,date_creation,date_debut_activite,date_fermeture,etat_administratif,latitude,longitude
BNP PARIBAS (HELLO BANK!),662042449,,53,64.19Z,64.19Y,False,662042449,,,,1966-07-01,,,A,,
BNP PARIBAS (HELLO BANK!),662042449,,53,64.19Z,64.19Y,False,662042449,,,,1966-07-01,,,A,,
BNP PARIBAS (HELLO BANK!),662042449,,53,64.19Z,64.19Y,False,662042449,,,,1966-07-01,,,A,,
BNP PARIBAS (HELLO BANK!),662042449,,53,64.19Z,64.19Y,False,662042449,,,,1966-07-01,,,A,,
BNP PARIBAS (HELLO BANK!),662042449,,53,64.19Z,64.19Y,False,662042449,,,,1966-07-01,,,A,,
BNP PARIBAS (HELLO BANK!),662042449,,53,64.19Z,64.19Y,False,662042449,,,,1966-07-01,,,A,,
BNP PARIBAS (HELLO BANK!),662042449,,53,64.19Z,64.19Y,False,662042449,,,,1966-07-01,,,A,,
BNP PARIBAS (HELLO BANK!),662042449,,53,64.19Z,64.19Y,False,662042449,,,,1966-07-01,,,A,,
BNP PARIBAS (HELLO BANK!),662042449,,53,64.19Z,64.19Y,False,662042449,,,,1966-07-01,,,A,,
BNP PARIBAS (HELLO BANK!),662042449,,53,64.19Z,64.19Y,False,662042449,,,,1966-07-01,,,A,,
BNP PARIBAS,500569983,,NN,68.20A,68.20G,False,500569983,,,,2007-02-15,,,A,,
BNP PARIBAS REUNION,428633408,,31,64.19Z,64.19Y,False,428633408,,,,1999-11-17,,,A,,
BNP PARIBAS REUNION,428633408,,31,64.19Z,64.19Y,False,428633408,,,,1999-11-17,,,A,,
BNP PARIBAS REUNION,428633408,,31,64.19Z,64.19Y,False,428633408,,,,1999-11-17,,,A,,
BNP PARIBAS REUNION,428633408,,31,64.19Z,64.19Y,False,428633408,,,,1999-11-17,,,A,,
BNP PARIBAS REUNION,428633408,,31,64.19Z,64.19Y,False,428633408,,,,1999-11-17,,,A,,
BNP PARIBAS REUNION,428633408,,31,64.19Z,64.19Y,False,428633408,,,,1999-11-17,,,A,,
BNP PARIBAS REUNION,428633408,,31,64.19Z,64.19Y,False,428633408,,,,1999-11-17,,,A,,
BNP PARIBAS REUNION,428633408,,31,64.19Z,64.19Y,False,428633408,,,,1999-11-17,,,A,,
BNP PARIBAS REUNION,428633408,,31,64.19Z,64.19Y,False,428633408,,,,1999-11-17,,,A,,
BNP PARIBAS REUNION,428633408,,31,64.19Z,64.19Y,False,428633408,,,,1999-11-17,,,A,,
BNP PARIBAS ANTILLES GUYANE,393095757,,32,64.19Z,64.19Y,False,393095757,,,,1993-11-15,,,A,,
BNP PARIBAS ANTILLES GUYANE,393095757,,32,64.19Z,64.19Y,False,393095757,,,,1993-11-15,,,A,,
BNP PARIBAS ANTILLES GUYANE,393095757,,32,64.19Z,64.19Y,False,393095757,,,,1993-11-15,,,A,,
BNP PARIBAS ANTILLES GUYANE,393095757,,32,64.19Z,64.19Y,False,393095757,,,,1993-11-15,,,A,,
BNP PARIBAS ANTILLES GUYANE,393095757,,32,64.19Z,64.19Y,False,393095757,,,,1993-11-15,,,A,,
BNP PARIBAS ANTILLES GUYANE,393095757,,32,64.19Z,64.19Y,False,393095757,,,,1993-11-15,,,A,,
BNP PARIBAS ANTILLES GUYANE,393095757,,32,64.19Z,64.19Y,False,393095757,,,,1993-11-15,,,A,,
BNP PARIBAS ANTILLES GUYANE,393095757,,32,64.19Z,64.19Y,False,393095757,,,,1993-11-15,,,A,,
BNP PARIBAS ANTILLES GUYANE,393095757,,32,64.19Z,64.19Y,False,393095757,,,,1993-11-15,,,A,,
BNP PARIBAS ANTILLES GUYANE,393095757,,32,64.19Z,64.19Y,False,393095757,,,,1993-11-15,,,A,,
BNP PARIBAS PERSONAL FINANCE,542097902,,51,65.1C,,False,542097902,,,,1954-01-01,,,A,,
BNP PARIBAS PERSONAL FINANCE,542097902,,51,65.1C,,False,542097902,,,,1954-01-01,,,A,,
BNP PARIBAS PERSONAL FINANCE,542097902,,51,65.1C,,False,542097902,,,,1954-01-01,,,A,,
BNP PARIBAS PERSONAL FINANCE,542097902,,51,65.1C,,False,542097902,,,,1954-01-01,,,A,,
BNP PARIBAS PERSONAL FINANCE,542097902,,51,65.1C,,False,542097902,,,,1954-01-01,,,A,,
BNP PARIBAS PERSONAL FINANCE,542097902,,51,65.1C,,False,542097902,,,,1954-01-01,,,A,,
BNP PARIBAS PERSONAL FINANCE,542097902,,51,64.19Z,,False,542097902,,,,1954-01-01,,,A,,
BNP PARIBAS PERSONAL FINANCE,542097902,,51,65.1C,,False,542097902,,,,1954-01-01,,,A,,
BNP PARIBAS PERSONAL FINANCE,542097902,,51,65.2C,,False,542097902,,,,1954-01-01,,,A,,
BNP PARIBAS PERSONAL FINANCE,542097902,,51,64.19Z,,False,542097902,,,,1954-01-01,,,A,,
BNP PARIBAS IMMOBILIER PROMOTION (BNP PI PROMOTION),441052735,,32,41.10A,68.12Y,False,441052735,,,,2002-02-22,,,A,,
BNP PARIBAS IMMOBILIER PROMOTION (BNP PI PROMOTION),441052735,,32,41.10A,68.12Y,False,441052735,,,,2002-02-22,,,A,,
BNP PARIBAS IMMOBILIER PROMOTION (BNP PI PROMOTION),441052735,,32,41.10A,68.12Y,False,441052735,,,,2002-02-22,,,A,,
BNP PARIBAS IMMOBILIER PROMOTION (BNP PI PROMOTION),441052735,,32,41.10A,68.12Y,False,441052735,,,,2002-02-22,,,A,,
