2026-06-04 10:54:01,561 | INFO     | utilis.py:41 | test
2026-06-04 10:54:11,740 | INFO     | utilis.py:41 | test
2026-06-04 10:54:11,744 | INFO     | transform.py:10 | coucou
2026-06-04 10:54:11,744 | INFO     | transform.py:10 | coucou
2026-06-04 10:54:11,745 | INFO     | transform.py:176 | Début d'extraction des fichiers bronze
2026-06-04 10:54:11,745 | INFO     | transform.py:176 | Début d'extraction des fichiers bronze
2026-06-04 10:54:11,771 | DEBUG    | transform.py:190 | Le fichier bronze 10_nord-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,771 | DEBUG    | transform.py:190 | Le fichier bronze 10_nord-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,780 | DEBUG    | transform.py:190 | Le fichier bronze 33_innovation-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,780 | DEBUG    | transform.py:190 | Le fichier bronze 33_innovation-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,787 | DEBUG    | transform.py:190 | Le fichier bronze accor-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,787 | DEBUG    | transform.py:190 | Le fichier bronze accor-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,792 | DEBUG    | transform.py:187 | Le fichier bronze acquisition_lab'-2026-06-03 est vide....
2026-06-04 10:54:11,792 | DEBUG    | transform.py:187 | Le fichier bronze acquisition_lab'-2026-06-03 est vide....
2026-06-04 10:54:11,793 | DEBUG    | transform.py:190 | Le fichier bronze adaltas-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,793 | DEBUG    | transform.py:190 | Le fichier bronze adaltas-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,797 | DEBUG    | transform.py:190 | Le fichier bronze adiba-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,797 | DEBUG    | transform.py:190 | Le fichier bronze adiba-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,800 | DEBUG    | transform.py:187 | Le fichier bronze adrmotors-2026-06-03 est vide....
2026-06-04 10:54:11,800 | DEBUG    | transform.py:187 | Le fichier bronze adrmotors-2026-06-03 est vide....
2026-06-04 10:54:11,800 | DEBUG    | transform.py:190 | Le fichier bronze aduku-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,800 | DEBUG    | transform.py:190 | Le fichier bronze aduku-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,804 | DEBUG    | transform.py:190 | Le fichier bronze advanced_management_transformation_solutions-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,804 | DEBUG    | transform.py:190 | Le fichier bronze advanced_management_transformation_solutions-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,807 | DEBUG    | transform.py:187 | Le fichier bronze advant-labs-2026-06-03 est vide....
2026-06-04 10:54:11,807 | DEBUG    | transform.py:187 | Le fichier bronze advant-labs-2026-06-03 est vide....
2026-06-04 10:54:11,808 | DEBUG    | transform.py:187 | Le fichier bronze afyasearch-2026-06-03 est vide....
2026-06-04 10:54:11,808 | DEBUG    | transform.py:187 | Le fichier bronze afyasearch-2026-06-03 est vide....
2026-06-04 10:54:11,808 | DEBUG    | transform.py:187 | Le fichier bronze agence_d2s-2026-06-03 est vide....
2026-06-04 10:54:11,808 | DEBUG    | transform.py:187 | Le fichier bronze agence_d2s-2026-06-03 est vide....
2026-06-04 10:54:11,809 | DEBUG    | transform.py:190 | Le fichier bronze agence_lapostolle-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,809 | DEBUG    | transform.py:190 | Le fichier bronze agence_lapostolle-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,812 | DEBUG    | transform.py:190 | Le fichier bronze agile_inside-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,812 | DEBUG    | transform.py:190 | Le fichier bronze agile_inside-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,818 | DEBUG    | transform.py:190 | Le fichier bronze air_france-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,818 | DEBUG    | transform.py:190 | Le fichier bronze air_france-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,826 | DEBUG    | transform.py:190 | Le fichier bronze ai_switch-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,826 | DEBUG    | transform.py:190 | Le fichier bronze ai_switch-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,832 | DEBUG    | transform.py:187 | Le fichier bronze al-qalam_strategy_._freelance-2026-06-03 est vide....
2026-06-04 10:54:11,832 | DEBUG    | transform.py:187 | Le fichier bronze al-qalam_strategy_._freelance-2026-06-03 est vide....
2026-06-04 10:54:11,834 | DEBUG    | transform.py:190 | Le fichier bronze alchimist-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,834 | DEBUG    | transform.py:190 | Le fichier bronze alchimist-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,840 | DEBUG    | transform.py:187 | Le fichier bronze allah_school-2026-06-03 est vide....
2026-06-04 10:54:11,840 | DEBUG    | transform.py:187 | Le fichier bronze allah_school-2026-06-03 est vide....
2026-06-04 10:54:11,841 | DEBUG    | transform.py:190 | Le fichier bronze all_system_solar-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,841 | DEBUG    | transform.py:190 | Le fichier bronze all_system_solar-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,845 | DEBUG    | transform.py:187 | Le fichier bronze aloha_business_club-2026-06-03 est vide....
2026-06-04 10:54:11,845 | DEBUG    | transform.py:187 | Le fichier bronze aloha_business_club-2026-06-03 est vide....
2026-06-04 10:54:11,847 | DEBUG    | transform.py:190 | Le fichier bronze alpine-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,847 | DEBUG    | transform.py:190 | Le fichier bronze alpine-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,853 | DEBUG    | transform.py:190 | Le fichier bronze alseed-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,853 | DEBUG    | transform.py:190 | Le fichier bronze alseed-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,856 | DEBUG    | transform.py:187 | Le fichier bronze amoaville-2026-06-03 est vide....
2026-06-04 10:54:11,856 | DEBUG    | transform.py:187 | Le fichier bronze amoaville-2026-06-03 est vide....
2026-06-04 10:54:11,856 | DEBUG    | transform.py:190 | Le fichier bronze anine_bing-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,856 | DEBUG    | transform.py:190 | Le fichier bronze anine_bing-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,862 | DEBUG    | transform.py:190 | Le fichier bronze ap-hp,_assistance_publique_-_hôpitaux_de_paris-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,862 | DEBUG    | transform.py:190 | Le fichier bronze ap-hp,_assistance_publique_-_hôpitaux_de_paris-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,867 | DEBUG    | transform.py:190 | Le fichier bronze apirem-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,867 | DEBUG    | transform.py:190 | Le fichier bronze apirem-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,870 | DEBUG    | transform.py:190 | Le fichier bronze app_&_saas_studio-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,870 | DEBUG    | transform.py:190 | Le fichier bronze app_&_saas_studio-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,876 | DEBUG    | transform.py:190 | Le fichier bronze arcadis_conseil-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,876 | DEBUG    | transform.py:190 | Le fichier bronze arcadis_conseil-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,898 | DEBUG    | transform.py:190 | Le fichier bronze architect_ops-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,898 | DEBUG    | transform.py:190 | Le fichier bronze architect_ops-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,904 | DEBUG    | transform.py:190 | Le fichier bronze argazen_immobilier-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,904 | DEBUG    | transform.py:190 | Le fichier bronze argazen_immobilier-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,908 | DEBUG    | transform.py:187 | Le fichier bronze asqii-2026-06-03 est vide....
2026-06-04 10:54:11,908 | DEBUG    | transform.py:187 | Le fichier bronze asqii-2026-06-03 est vide....
2026-06-04 10:54:11,909 | DEBUG    | transform.py:187 | Le fichier bronze association_grow_up-2026-06-03 est vide....
2026-06-04 10:54:11,909 | DEBUG    | transform.py:187 | Le fichier bronze association_grow_up-2026-06-03 est vide....
2026-06-04 10:54:11,910 | DEBUG    | transform.py:190 | Le fichier bronze associés_de_coeur-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,910 | DEBUG    | transform.py:190 | Le fichier bronze associés_de_coeur-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,915 | DEBUG    | transform.py:190 | Le fichier bronze asutech-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,915 | DEBUG    | transform.py:190 | Le fichier bronze asutech-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,920 | DEBUG    | transform.py:187 | Le fichier bronze athens_exchange_group-2026-06-03 est vide....
2026-06-04 10:54:11,920 | DEBUG    | transform.py:187 | Le fichier bronze athens_exchange_group-2026-06-03 est vide....
2026-06-04 10:54:11,921 | DEBUG    | transform.py:190 | Le fichier bronze atrakt-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,921 | DEBUG    | transform.py:190 | Le fichier bronze atrakt-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,924 | DEBUG    | transform.py:190 | Le fichier bronze audace_studio-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,924 | DEBUG    | transform.py:190 | Le fichier bronze audace_studio-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,927 | DEBUG    | transform.py:190 | Le fichier bronze auryon-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,927 | DEBUG    | transform.py:190 | Le fichier bronze auryon-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,931 | DEBUG    | transform.py:190 | Le fichier bronze au_nid’o-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,931 | DEBUG    | transform.py:190 | Le fichier bronze au_nid’o-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,933 | DEBUG    | transform.py:190 | Le fichier bronze aventiqs-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,933 | DEBUG    | transform.py:190 | Le fichier bronze aventiqs-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,937 | DEBUG    | transform.py:190 | Le fichier bronze avisia-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,937 | DEBUG    | transform.py:190 | Le fichier bronze avisia-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,941 | DEBUG    | transform.py:190 | Le fichier bronze avizua-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,941 | DEBUG    | transform.py:190 | Le fichier bronze avizua-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,944 | DEBUG    | transform.py:190 | Le fichier bronze axens_group-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,944 | DEBUG    | transform.py:190 | Le fichier bronze axens_group-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,947 | DEBUG    | transform.py:190 | Le fichier bronze axi_technologies-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,947 | DEBUG    | transform.py:190 | Le fichier bronze axi_technologies-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,949 | DEBUG    | transform.py:187 | Le fichier bronze axxam_business_hub-2026-06-03 est vide....
2026-06-04 10:54:11,949 | DEBUG    | transform.py:187 | Le fichier bronze axxam_business_hub-2026-06-03 est vide....
2026-06-04 10:54:11,950 | DEBUG    | transform.py:190 | Le fichier bronze azmk-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,950 | DEBUG    | transform.py:190 | Le fichier bronze azmk-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,952 | DEBUG    | transform.py:187 | Le fichier bronze azulejos_en_balade-2026-06-03 est vide....
2026-06-04 10:54:11,952 | DEBUG    | transform.py:187 | Le fichier bronze azulejos_en_balade-2026-06-03 est vide....
2026-06-04 10:54:11,954 | DEBUG    | transform.py:190 | Le fichier bronze badis_ai-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,954 | DEBUG    | transform.py:190 | Le fichier bronze badis_ai-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,957 | DEBUG    | transform.py:187 | Le fichier bronze baobab_-_révélez_votre_entreprise_par_le_business-2026-06-03 est vide....
2026-06-04 10:54:11,957 | DEBUG    | transform.py:187 | Le fichier bronze baobab_-_révélez_votre_entreprise_par_le_business-2026-06-03 est vide....
2026-06-04 10:54:11,958 | DEBUG    | transform.py:190 | Le fichier bronze baticom_-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,958 | DEBUG    | transform.py:190 | Le fichier bronze baticom_-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,961 | DEBUG    | transform.py:187 | Le fichier bronze bcimr-2026-06-03 est vide....
2026-06-04 10:54:11,961 | DEBUG    | transform.py:187 | Le fichier bronze bcimr-2026-06-03 est vide....
2026-06-04 10:54:11,961 | DEBUG    | transform.py:190 | Le fichier bronze beecount-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,961 | DEBUG    | transform.py:190 | Le fichier bronze beecount-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,964 | DEBUG    | transform.py:190 | Le fichier bronze beetween-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,964 | DEBUG    | transform.py:190 | Le fichier bronze beetween-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,967 | DEBUG    | transform.py:190 | Le fichier bronze belim.-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,967 | DEBUG    | transform.py:190 | Le fichier bronze belim.-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,972 | DEBUG    | transform.py:190 | Le fichier bronze bellota-bellota®-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,972 | DEBUG    | transform.py:190 | Le fichier bronze bellota-bellota®-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,974 | DEBUG    | transform.py:187 | Le fichier bronze benett_portage_-_portage_salarial-2026-06-03 est vide....
2026-06-04 10:54:11,974 | DEBUG    | transform.py:187 | Le fichier bronze benett_portage_-_portage_salarial-2026-06-03 est vide....
2026-06-04 10:54:11,975 | DEBUG    | transform.py:187 | Le fichier bronze bereach-2026-06-03 est vide....
2026-06-04 10:54:11,975 | DEBUG    | transform.py:187 | Le fichier bronze bereach-2026-06-03 est vide....
2026-06-04 10:54:11,975 | DEBUG    | transform.py:190 | Le fichier bronze betclic_group-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,975 | DEBUG    | transform.py:190 | Le fichier bronze betclic_group-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,979 | DEBUG    | transform.py:190 | Le fichier bronze betec-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,979 | DEBUG    | transform.py:190 | Le fichier bronze betec-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,982 | DEBUG    | transform.py:190 | Le fichier bronze bforbank-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,982 | DEBUG    | transform.py:190 | Le fichier bronze bforbank-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,986 | DEBUG    | transform.py:187 | Le fichier bronze bim_transition-2026-06-03 est vide....
2026-06-04 10:54:11,986 | DEBUG    | transform.py:187 | Le fichier bronze bim_transition-2026-06-03 est vide....
2026-06-04 10:54:11,986 | DEBUG    | transform.py:187 | Le fichier bronze biomass_asia_inc-2026-06-03 est vide....
2026-06-04 10:54:11,986 | DEBUG    | transform.py:187 | Le fichier bronze biomass_asia_inc-2026-06-03 est vide....
2026-06-04 10:54:11,987 | DEBUG    | transform.py:187 | Le fichier bronze bkf_agency-2026-06-03 est vide....
2026-06-04 10:54:11,987 | DEBUG    | transform.py:187 | Le fichier bronze bkf_agency-2026-06-03 est vide....
2026-06-04 10:54:11,988 | DEBUG    | transform.py:190 | Le fichier bronze blackbox-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,988 | DEBUG    | transform.py:190 | Le fichier bronze blackbox-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,991 | DEBUG    | transform.py:187 | Le fichier bronze blakeworth_ltd-2026-06-03 est vide....
2026-06-04 10:54:11,991 | DEBUG    | transform.py:187 | Le fichier bronze blakeworth_ltd-2026-06-03 est vide....
2026-06-04 10:54:11,992 | DEBUG    | transform.py:190 | Le fichier bronze bnk_transports-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,992 | DEBUG    | transform.py:190 | Le fichier bronze bnk_transports-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,997 | DEBUG    | transform.py:190 | Le fichier bronze bnp_paribas-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:11,997 | DEBUG    | transform.py:190 | Le fichier bronze bnp_paribas-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,000 | DEBUG    | transform.py:190 | Le fichier bronze bnp_paribas_leasing_solutions-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,000 | DEBUG    | transform.py:190 | Le fichier bronze bnp_paribas_leasing_solutions-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,003 | DEBUG    | transform.py:187 | Le fichier bronze boldys.ai-2026-06-03 est vide....
2026-06-04 10:54:12,003 | DEBUG    | transform.py:187 | Le fichier bronze boldys.ai-2026-06-03 est vide....
2026-06-04 10:54:12,003 | DEBUG    | transform.py:190 | Le fichier bronze bomzai-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,003 | DEBUG    | transform.py:190 | Le fichier bronze bomzai-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,007 | DEBUG    | transform.py:190 | Le fichier bronze bonnard-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,007 | DEBUG    | transform.py:190 | Le fichier bronze bonnard-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,009 | DEBUG    | transform.py:190 | Le fichier bronze boston_consulting_group_(bcg)-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,009 | DEBUG    | transform.py:190 | Le fichier bronze boston_consulting_group_(bcg)-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze btc_-_bekka_tech_club-2026-06-03 est vide....
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze btc_-_bekka_tech_club-2026-06-03 est vide....
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze builder_créatif-2026-06-03 est vide....
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze builder_créatif-2026-06-03 est vide....
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze bureau_singuliere.-2026-06-03 est vide....
2026-06-04 10:54:12,012 | DEBUG    | transform.py:187 | Le fichier bronze bureau_singuliere.-2026-06-03 est vide....
2026-06-04 10:54:12,013 | DEBUG    | transform.py:190 | Le fichier bronze butine_groupe-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,013 | DEBUG    | transform.py:190 | Le fichier bronze butine_groupe-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,016 | DEBUG    | transform.py:190 | Le fichier bronze café_crème-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,016 | DEBUG    | transform.py:190 | Le fichier bronze café_crème-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,019 | DEBUG    | transform.py:187 | Le fichier bronze café_crème_club-2026-06-03 est vide....
2026-06-04 10:54:12,019 | DEBUG    | transform.py:187 | Le fichier bronze café_crème_club-2026-06-03 est vide....
2026-06-04 10:54:12,019 | DEBUG    | transform.py:187 | Le fichier bronze carecrutement-2026-06-03 est vide....
2026-06-04 10:54:12,019 | DEBUG    | transform.py:187 | Le fichier bronze carecrutement-2026-06-03 est vide....
2026-06-04 10:54:12,020 | DEBUG    | transform.py:190 | Le fichier bronze casa_loc'_&_design-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,020 | DEBUG    | transform.py:190 | Le fichier bronze casa_loc'_&_design-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,023 | DEBUG    | transform.py:190 | Le fichier bronze catalina_france-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,023 | DEBUG    | transform.py:190 | Le fichier bronze catalina_france-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,026 | DEBUG    | transform.py:187 | Le fichier bronze celeri_lab-2026-06-03 est vide....
2026-06-04 10:54:12,026 | DEBUG    | transform.py:187 | Le fichier bronze celeri_lab-2026-06-03 est vide....
2026-06-04 10:54:12,026 | DEBUG    | transform.py:190 | Le fichier bronze celesta-lab-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,026 | DEBUG    | transform.py:190 | Le fichier bronze celesta-lab-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,028 | DEBUG    | transform.py:187 | Le fichier bronze cfa_numia-2026-06-03 est vide....
2026-06-04 10:54:12,028 | DEBUG    | transform.py:187 | Le fichier bronze cfa_numia-2026-06-03 est vide....
2026-06-04 10:54:12,029 | DEBUG    | transform.py:190 | Le fichier bronze cgi-2026-06-03 est non vide, extraction des datas...
2026-06-04 10:54:12,029 | DEBUG    | transform.py:190 | Le fichier bronze cgi-2026-06-03 est non vide, extraction des datas...
